par_state,par_county,kid_race,par_pctile,shrunk_xkid_stubalance2020,county_name
1,35,Black,-9,18816.66666666667,Conecuh
1,35,Hispanic,25,13160,Conecuh
1,35,White,50,6819.5,Conecuh
1,35,Black,75,23440,Conecuh
1,35,Pooled,75,12603.09090909091,Conecuh
1,35,White,75,7833,Conecuh
1,35,Black,50,20875,Conecuh
1,35,Hispanic,75,29090,Conecuh
1,37,Black,25,18630,Coosa
1,37,White,75,9637,Coosa
1,37,Black,75,39800,Coosa
1,37,White,50,8450,Coosa
1,37,Black,-9,22760.73170731707,Coosa
1,37,White,25,7263,Coosa
1,37,Pooled,25,11907.08641975309,Coosa
1,37,Black,50,29215,Coosa
1,37,White,-9,8144.771428571428,Coosa
1,37,Hispanic,75,16730,Coosa
1,37,Hispanic,25,7528,Coosa
1,37,Pooled,50,14320.41163092917,Coosa
1,37,Pooled,75,16733.73684210526,Coosa
1,37,Hispanic,50,12129,Coosa
1,37,Hispanic,-9,12129,Coosa
1,37,Pooled,-9,13448.36974789916,Coosa
1,39,AIAN,75,10660,Covington
1,39,Pooled,50,8735.078972520907,Covington
1,39,Hispanic,-9,5231.5,Covington
1,39,Hispanic,75,3699,Covington
1,39,White,25,5363,Covington
1,39,AIAN,25,5430,Covington
1,39,Asian,75,16210,Covington
1,39,Asian,50,13615,Covington
1,39,White,75,9142,Covington
1,39,AIAN,50,8045,Covington
1,39,Hispanic,25,6764,Covington
1,39,Asian,-9,13615,Covington
1,39,White,-9,6721.078125,Covington
1,39,Pooled,25,7344.483870967741,Covington
1,39,Black,75,24170,Covington
1,39,White,50,7252.5,Covington
1,39,Asian,25,11020,Covington
1,39,Black,25,13820,Covington
1,39,Black,-9,15002.85714285714,Covington
1,39,Black,50,18995,Covington
1,39,Hispanic,50,5231.5,Covington
1,39,AIAN,-9,8045,Covington
1,39,Pooled,-9,8251.393719806763,Covington
1,39,Pooled,75,10125.67407407407,Covington
1,41,Black,-9,21928.97435897436,Crenshaw
1,41,White,75,10140,Crenshaw
1,41,White,-9,8015.064516129032,Crenshaw
1,41,Pooled,75,13832.72727272727,Crenshaw
1,41,Black,75,30450,Crenshaw
1,41,White,25,6673,Crenshaw
1,41,Black,50,25090,Crenshaw
1,41,Pooled,50,12552.67613636364,Crenshaw
1,41,Black,25,19730,Crenshaw
1,41,Pooled,-9,12125.99242424242,Crenshaw
1,41,Pooled,25,11272.625,Crenshaw
1,41,White,50,8406.5,Crenshaw
1,43,Black,25,13930,Cullman
1,43,Pooled,25,4954.852097130243,Cullman
1,43,Pooled,75,8029.882621951219,Cullman
1,43,Hispanic,25,2404,Cullman
1,43,Asian,75,11170,Cullman
1,43,AIAN,25,5859,Cullman
1,43,White,75,7824,Cullman
1,43,Black,50,13480,Cullman
1,43,AIAN,75,17540,Cullman
1,43,Pooled,-9,6246.286171574904,Cullman
1,43,White,50,6341.5,Cullman
1,43,Hispanic,75,6343,Cullman
1,43,Hispanic,-9,4373.5,Cullman
1,43,White,-9,6092.758389261745,Cullman
1,43,Asian,50,9527.5,Cullman
1,43,White,25,4859,Cullman
1,43,Hispanic,50,4373.5,Cullman
1,43,AIAN,-9,11699.5,Cullman
1,43,AIAN,50,11699.5,Cullman
1,43,Black,-9,13480,Cullman
1,43,Black,75,13030,Cullman
1,43,Asian,-9,9527.5,Cullman
1,43,Pooled,50,6492.367359540731,Cullman
1,43,Asian,25,7885,Cullman
1,45,Pooled,-9,12733.35593220339,Dale
1,45,AIAN,25,11600,Dale
1,45,Asian,25,11870,Dale
1,45,Black,75,36240,Dale
1,45,Pooled,75,14278.19830713422,Dale
1,45,Asian,75,14710,Dale
1,45,Black,25,18530,Dale
1,45,AIAN,75,14610,Dale
1,45,AIAN,50,13105,Dale
1,45,Asian,-9,13290,Dale
1,45,Hispanic,-9,13176.42857142857,Dale
1,45,Black,50,27385,Dale
1,45,White,50,9408,Dale
1,45,Hispanic,50,13580,Dale
1,45,Pooled,25,11378.54718981972,Dale
1,45,Hispanic,75,15840,Dale
1,45,Hispanic,25,11320,Dale
1,45,AIAN,-9,13105,Dale
1,45,White,-9,9542.838709677419,Dale
1,45,White,25,7736,Dale
1,45,Black,-9,22865.26041666667,Dale
1,45,Asian,50,13290,Dale
1,45,Pooled,50,12828.37274847697,Dale
1,45,White,75,11080,Dale
1,47,Asian,50,9843.5,Dallas
1,47,Pooled,50,15020.99775228168,Dallas
1,47,White,75,9543,Dallas
1,47,Black,-9,20038.82352941177,Dallas
1,47,Black,25,18740,Dallas
1,47,Asian,25,8677,Dallas
1,47,Asian,75,11010,Dallas
1,47,Asian,-9,9843.5,Dallas
